AirTemp WindSpd WindGst WindDir RelHum
ID Year DOY  UTC     C      m/s     m/s     deg      %
4 2016 194 2352   29.1    10.7    11.4     263    47.0
4 2016 194 2354   29.0    10.4    11.7     262    47.6
4 2016 194 2356   29.2    10.2    11.6     257    46.9
4 2016 194 2358   29.4     9.1    10.3     257    46.1
4 2016 195 0000   29.4     9.0     9.7     257    46.8
4 2016 195 0002   29.3     8.9     9.8     254    47.2
4 2016 195 0004   29.0     7.4     9.0     259    49.1
4 2016 195 0006   29.1     8.8     9.6     258    48.3
4 2016 195 0008   29.2     7.9     8.8     257    47.9
4 2016 195 0010   29.3     8.9    10.5     260    47.8
4 2016 195 0012   29.0     7.6     9.3     251    49.0
4 2016 195 0014   28.8     7.7    10.3     245    49.6
4 2016 195 0016   28.8     6.7     8.0     244    49.8
4 2016 195 0018   28.8     6.8     7.9     246    49.8
4 2016 195 0020   28.8     6.7     7.8     244    49.7
4 2016 195 0022   29.0     7.4    10.0     249    48.2
4 2016 195 0024   29.0     8.9     9.7     249    46.8
4 2016 195 0026   29.0     9.5    11.4     252    46.5
4 2016 195 0028   29.1    10.3    11.2     256    46.0
4 2016 195 0030   29.1     9.5    10.9     256    46.7
4 2016 195 0032   29.1     8.1     9.2     251    47.0
4 2016 195 0034   29.1     8.2     8.9     253    46.4
4 2016 195 0036   29.1     7.2     7.9     253    46.8
4 2016 195 0038   29.1     6.8     8.9     243    47.0
4 2016 195 0040   29.0     6.6     8.7     245    47.6
4 2016 195 0042   28.8     6.5     8.0     245    48.5
4 2016 195 0044   29.0     7.9     9.1     236    46.8
4 2016 195 0046   29.1     6.8     7.5     239    47.0
4 2016 195 0048   29.1     6.1     7.7     238    47.4
4 2016 195 0050   28.7     6.2     7.6     232    49.3
4 2016 195 0052   28.7     5.5     6.0     238    49.4
4 2016 195 0054   28.8     5.4     6.7     235    48.5
4 2016 195 0056   28.9     6.3    10.3     245    48.6
4 2016 195 0058   29.0     8.2     9.4     243    47.7
4 2016 195 0100   29.1     6.1     7.5     240    47.7
4 2016 195 0102   28.8     5.9     6.4     246    49.8
4 2016 195 0104   28.7     5.5     6.3     246    49.9
4 2016 195 0106   28.8     6.1     7.3     251    49.4
4 2016 195 0108   29.0     6.8     8.0     246    49.0
4 2016 195 0110   28.9     7.7     8.6     249    49.1
4 2016 195 0112   28.9     7.8     8.5     251    49.5
4 2016 195 0114   28.7     7.0     8.4     247    50.7
4 2016 195 0116   28.8     7.7     8.7     253    50.6
4 2016 195 0118   28.7     7.1     8.6     248    51.5
4 2016 195 0120   28.4     6.5     8.5     248    52.5
4 2016 195 0122   28.6     8.2     9.3     252    52.1
4 2016 195 0124   28.6     8.3     9.6     253    52.7
4 2016 195 0126   28.7     7.5     8.8     242    52.4
4 2016 195 0128   28.6     7.9     9.3     245    53.1
4 2016 195 0130   28.6     7.5     9.0     246    53.6
4 2016 195 0132   28.3     7.7     8.8     243    55.2
4 2016 195 0134   28.6     8.1     9.4     241    54.3
4 2016 195 0136   28.5     7.3     7.9     246    54.7
4 2016 195 0138   28.4     7.2     8.6     239    55.4
4 2016 195 0140   28.4     6.1     7.5     245    55.8
4 2016 195 0142   28.3     5.9     6.9     240    56.3
4 2016 195 0144   28.1     7.5     8.3     238    57.3
4 2016 195 0146   28.4     6.8     8.7     239    56.1
4 2016 195 0148   28.2     5.1     6.4     240    57.5
4 2016 195 0150   28.1     5.5     6.3     238    58.1
